wl;n;k
0.623669;1.80109;4.22293
0.624548;1.80334;4.22776
0.62543;1.80561;4.23259
0.626315;1.80787;4.23743
0.627202;1.81015;4.24228
0.628092;1.81243;4.24714
0.628984;1.81471;4.252
0.629879;1.817;4.25687
0.630776;1.8193;4.26174
0.631676;1.8216;4.26663
0.632579;1.82391;4.27151
0.633484;1.82623;4.27641
0.634391;1.82855;4.28131
0.635301;1.83087;4.28622
0.636214;1.8332;4.29114
0.63713;1.83554;4.29606
0.638048;1.83788;4.30099
0.638969;1.84023;4.30593
0.639892;1.84258;4.31087
0.640818;1.84494;4.31582
0.641747;1.84731;4.32078
0.642678;1.84968;4.32574
0.643613;1.85205;4.33071
0.644549;1.85443;4.33569
0.645489;1.85682;4.34068
0.646431;1.85921;4.34567
0.647377;1.86161;4.35066
0.648324;1.86401;4.35567
0.649275;1.86642;4.36068
0.650229;1.86883;4.3657
0.651185;1.87125;4.37072
0.652144;1.87367;4.37575
0.653106;1.8761;4.38079
0.654071;1.87853;4.38584
0.655038;1.88097;4.39089
0.656009;1.88341;4.39595
0.656982;1.88586;4.40101
0.657958;1.88832;4.40608
0.658937;1.89077;4.41116
0.65992;1.89324;4.41625
0.660905;1.89571;4.42134
0.661893;1.89818;4.42644
0.662883;1.90066;4.43155
0.663877;1.90314;4.43666
0.664874;1.90563;4.44178
0.665874;1.90812;4.44691
0.666877;1.91061;4.45204
0.667883;1.91312;4.45718
0.668892;1.91562;4.46233
0.669904;1.91813;4.46749
0.670919;1.92065;4.47265
0.671937;1.92316;4.47782
0.672958;1.92569;4.48299
0.673983;1.92821;4.48817
0.67501;1.93074;4.49336
0.676041;1.93328;4.49856
0.677074;1.93582;4.50376
0.678111;1.93836;4.50897
0.679151;1.94091;4.51419
0.680195;1.94346;4.51942
0.681241;1.94602;4.52465
0.682291;1.94858;4.52989
0.683344;1.95114;4.53513
0.6844;1.9537;4.54039
0.68546;1.95627;4.54565
0.686522;1.95885;4.55091
0.687589;1.96142;4.55619
0.688658;1.964;4.56147
0.689731;1.96659;4.56676
0.690807;1.96917;4.57206
0.691886;1.97176;4.57736
0.692969;1.97436;4.58267
0.694055;1.97695;4.58799
0.695145;1.97955;4.59332
0.696238;1.98215;4.59865
0.697334;1.98476;4.60399
0.698434;1.98736;4.60934
0.699538;1.98997;4.6147
0.700645;1.99258;4.62006
0.701755;1.9952;4.62544
0.702869;1.99782;4.63082
0.703987;2.00044;4.6362
0.705108;2.00306;4.6416
0.706232;2.00568;4.647
0.707361;2.00831;4.65241
0.708493;2.01093;4.65783
0.709628;2.01356;4.66326
0.710767;2.0162;4.6687
0.71191;2.01883;4.67414
0.713056;2.02146;4.67959
0.714207;2.0241;4.68505
0.71536;2.02674;4.69052
0.716518;2.02938;4.696
0.717679;2.03202;4.70148
0.718844;2.03466;4.70698
0.720013;2.0373;4.71248
0.721186;2.03994;4.71799
0.722363;2.04259;4.72351
0.723543;2.04523;4.72904
0.724727;2.04788;4.73457
0.725916;2.05052;4.74012
0.727108;2.05317;4.74568
0.728304;2.05582;4.75124
0.729503;2.05846;4.75681
0.730707;2.06111;4.7624
